crash_dim_id,crash_id,crash_type
1140,20244070,Multiple
1141,20242216,Multiple
1142,20243048,Multiple
1143,20241280,Multiple
1144,20242118,Single
1145,20241193,Multiple
1146,20245066,Single
1147,20245104,Single
1148,20242150,Single
1149,20241239,Single
1150,20245029,Single
1151,20242111,Multiple
1152,20245106,Single
1153,20245024,Single
1154,20243255,Single
1155,20241033,Single
1156,20241288,Single
1157,20243012,Multiple
1158,20241164,Single
1159,20243250,Single
1160,20242076,Single
1161,20241099,Single
1162,20243052,Multiple
1163,20245087,Single
1164,20241015,Multiple
1165,20245156,Single
1166,20243219,Multiple
1167,20241184,Single
1168,20241284,Multiple
1169,20242218,Multiple
1170,20241008,Single
1171,20245101,Single
1172,20244075,Single
1173,20242147,Multiple
1174,20248010,Multiple
1175,20234108,Single
1176,20234099,Single
1177,20233145,Multiple
1178,20236026,Multiple
1179,20233259,Single
1180,20235048,Single
1181,20236028,Single
1182,20231088,Multiple
1183,20231189,Multiple
1184,20232156,Single
1185,20233100,Single
1186,20231103,Multiple
1187,20232192,Multiple
1188,20233056,Single
1189,20233122,Multiple
1190,20237016,Single
1191,20231091,Multiple
1192,20235044,Multiple
1193,20232211,Single
1194,20231104,Single
1195,20231155,Single
1196,20232098,Multiple
1197,20232128,Multiple
1198,20233085,Single
1199,20234027,Multiple
1200,20232061,Multiple
1201,20235002,Single
1202,20235116,Single
1203,20234033,Single
1204,20232044,Multiple
1205,20235101,Multiple
1206,20232250,Single
1207,20233231,Single
1208,20232112,Single
1209,20231020,Single
1210,20231115,Single
1211,20235035,Single
1212,20231038,Single
1213,20231108,Multiple
1214,20231281,Single
1215,20235123,Single
1216,20233078,Single
1217,20235146,Single
1218,20231261,Single
1219,20233258,Multiple
1220,20236009,Multiple
1221,20232237,Multiple
1222,20232188,Single
1223,20233165,Multiple
1224,20235097,Multiple
1225,20231098,Single
1226,20233156,Multiple
1227,20234029,Single
1228,20231102,Single
1229,20231198,Multiple
1230,20231129,Multiple
1231,20237011,Single
1232,20231231,Single
1233,20232012,Multiple
1234,20233120,Single
1235,20232196,Single
1236,20234053,Multiple
1237,20232240,Single
1238,20231095,Multiple
